,time,link
108,,https://www.loksatta.com/sampadkiya/features/idealist-dominant-religious-supremacy-insistence-idealist-ysh-95-3058380/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
109,,https://www.loksatta.com/sampadkiya/features/inspirational-legal-battles-inspirational-justice-analysis-tribal-group-ysh-95-3058366/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
110,,https://www.loksatta.com/sampadkiya/columns/lokmanas-loksatta-readers-reaction-loksatta-readers-opinion-ysh-95-30-3058379/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
111,,https://www.loksatta.com/sampadkiya/this-study-says-that-some-women-who-earn-more-are-beaten-by-their-husbands-asj-82-3056800/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
112,,https://www.loksatta.com/sampadkiya/central-investigation-agency-interfering-aggressively-within-local-police-investigation-asj-82-3056759/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
113,"June 26, 2022 1:11 am",https://www.loksatta.com/lokrang/pandharpur-wari-books-on-sant-tukaram-sant-tukaram-maharaj-palkhi-zws-70-2990574/
114,"June 26, 2022 1:08 am",https://www.loksatta.com/lokrang/article-about-french-artist-henri-matisse-artworks-by-henri-matisse-zws-70-2990573/
115,"June 26, 2022 1:05 am",https://www.loksatta.com/lokrang/article-about-marathi-poet-vaman-mangesh-dubhashi-zws-70-2990572/
116,"June 26, 2022 1:01 am",https://www.loksatta.com/lokrang/aruna-dhere-article-on-occasion-of-birth-centenary-celebrations-of-poet-shankar-ramani-zws-70-2990562/
117,"June 19, 2022 12:05 am",https://www.loksatta.com/lokrang/weather-forecast-by-the-indian-meteorological-department-rainfall-monsoon-rain-amy-95-2978729/
118,"June 19, 2022 12:05 am",https://www.loksatta.com/lokrang/marathi-love-marathi-language-grammar-expert-colleges-amy-95-2978726/
119,"June 19, 2022 12:05 am",https://www.loksatta.com/lokrang/painter-sketch-ravi-paranjape-illustration-personality-thoughtful-painter-amy-95-2978728/
120,"June 19, 2022 12:04 am",https://www.loksatta.com/lokrang/green-crown-royal-splendour-the-french-revolution-magnificent-museum-of-the-history-of-france-amy-95-2978727/
121,"June 19, 2022 12:03 am",https://www.loksatta.com/lokrang/sant-tukaram-marathi-movie-breathing-foreign-films-amy-95-2978724/
122,"June 19, 2022 12:01 am",https://www.loksatta.com/lokrang/children-should-learn-to-read-with-pleasure-storyviewer-reading-editing-setm-amy-95-2978722/
123,"June 18, 2022 12:03 am",https://www.loksatta.com/lokrang/science-and-technology-fashion-to-norms-source-of-the-tributary-amy-95-2978725/
124,"June 12, 2022 12:06 am",https://www.loksatta.com/lokrang/students-facing-challenges-while-switching-from-online-to-offline-education-zws-70-2969369/
125,,https://www.loksatta.com/manoranjan/marathi-actor-pradeep-patwardhan-death-prashant-damale-share-emotional-note-on-facebook-spg-93-3064640/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
126,,https://www.loksatta.com/mumbai/juhu-blue-bottle-girgaon-chowpatty-tourists-administration-measures-mumbai-print-news-ysh-95-3064687/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
127,,https://www.loksatta.com/lifestyle/omega-3-fatty-acids-will-reduce-the-risk-of-breast-cancer-information-revealed-by-new-research-gps-97-3064543/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
128,,https://www.loksatta.com/mumbai/pedestrian-bridge-will-be-built-in-hindmata-also-facility-of-escalator-mumbai-print-news-amy-95-3064530/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
129,,https://www.loksatta.com/pune/pune-bjps-har-ghar-tiranga-campaign-launched-in-the-presence-of-devendra-fadnavis-msr-87-3064624/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
130,13 hours ago,https://www.loksatta.com/photos/entertainment-gallery/3063405/mahesh-babu-birthday-special-the-interesting-fact-net-worth-and-much-more-about-him-mrj-95/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=photogallery
131,14 hours ago,https://www.loksatta.com/photos/entertainment-gallery/3063381/miss-world-bollywood-actress-manushi-chillar-bold-look-in-monikini-beach-photos-seeking-attention-on-internet-kak-96/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=photogallery
132,15 hours ago,https://www.loksatta.com/photos/entertainment-gallery/3063190/suyash-tilak-wife-aayushi-bhave-first-romantic-musical-video-por-beautiful-on-youtube-with-russian-actor-stefan-blazenko-photos-sdn-96/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=photogallery
133,,https://www.loksatta.com/sampadkiya/columns/shinde-fadnavis-government-reverse-mva-decision-on-bmc-wards-delimitation-zws-70-3056548/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
134,,https://www.loksatta.com/sampadkiya/columns/vinayak-damodar-savarkar-concept-on-hindutva-zws-70-3056516/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
135,,https://www.loksatta.com/sampadkiya/editorial/loksatta-editorial-on-pm-narendra-modi-view-on-freebie-culture-zws-70-3056528/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
136,,https://www.loksatta.com/sampadkiya/columns/loksatta-readers-reaction-on-article-and-editorial-zws-70-3056530/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
137,,https://www.loksatta.com/sampadkiya/columns/samyog-acharya-vinoba-bhave-thoughts-on-service-and-peace-of-mind-zws-70-3056502/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
138,,https://www.loksatta.com/sampadkiya/columns/article-about-hindi-nationalism-zws-70-2-3056497/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
139,,https://www.loksatta.com/sampadkiya/naddaji-this-is-the-dynasticism-in-bjp-asj-82-3055019/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
140,,https://www.loksatta.com/sampadkiya/to-avoid-more-patra-chawl-like-incident-asj-82-3054995/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
141,"June 12, 2022 12:05 am",https://www.loksatta.com/lokrang/pl-deshpande-s-death-anniversary-mangesh-padgaonkar-speech-on-pl-deshpande-zws-70-2969368/
142,"June 12, 2022 12:04 am",https://www.loksatta.com/lokrang/article-about-central-park-metropolitan-museum-of-art-in-new-york-city-zws-70-2969270/
143,"June 12, 2022 12:03 am",https://www.loksatta.com/lokrang/author-manisha-tikekar-book-on-afghanistan-current-situation-zws-70-2969132/
144,"June 12, 2022 12:03 am",https://www.loksatta.com/lokrang/article-about-book-written-by-dr-kurtakoti-shankaracharya-zws-70-2969133/
145,"June 12, 2022 12:02 am",https://www.loksatta.com/lokrang/book-review-kulamamachya-deshat-by-gb-deshamukh-zws-70-2969130/
146,"June 12, 2022 12:01 am",https://www.loksatta.com/lokrang/loksatta-readers-reaction-on-lokrang-article-zws-70-5-2969129/
147,"June 5, 2022 9:21 am",https://www.loksatta.com/lokrang/environment-and-kids-environmental-education-for-kids-zws-70-2959316/
148,"June 5, 2022 9:08 am",https://www.loksatta.com/lokrang/writer-geetanjali-shree-won-international-booker-prize-for-ret-samadhi-zws-70-2959315/
149,"June 5, 2022 8:58 am",https://www.loksatta.com/lokrang/article-about-bhaskar-kulkarni-an-artist-encouraged-the-warli-community-zws-70-2959314/
150,"June 5, 2022 8:46 am",https://www.loksatta.com/lokrang/sculptures-of-alberto-giacometti-giacometti-museum-in-paris-zws-70-2959313/
151,"June 5, 2022 8:34 am",https://www.loksatta.com/lokrang/reaction-from-readers-on-lokrang-article-zws-70-2959283/
152,"June 5, 2022 8:30 am",https://www.loksatta.com/lokrang/book-review-brand-factory-author-manohar-sonawane-zws-70-2959282/
153,,https://www.loksatta.com/manoranjan/bigg-boss-telugu-season-6-promo-out-superstar-nagarjuna-is-ready-to-host-the-show-rnv-99-3064421/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
154,,https://www.loksatta.com/manoranjan/shah-rukh-khan-will-appear-in-aamir-khans-laal-singh-chaddha-pns-97-3064441/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
155,,https://www.loksatta.com/krida/cwg-2022-silver-medalist-athlete-priyanka-goswami-photos-with-little-krishna-idol-goes-viral-vkk-95-3064596/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
